userID,question,response
jdtrat,age,21
jdtrat,gender,Male
jdtrat,education_attained,Some college
jdtrat,first_language,English
jdtrat,read_language,English
jdtrat,learned_r,Yes
jdtrat,learned_programming_not_r,Yes
jdtrat,completed_data_analysis,Yes
